comments,duration,event,film_date,languages,main_speaker,name,num_speaker,published_date,speaker_occupation,tags,title,views
305,1445,TED2004,1077753600,32,Jennifer Lin,Jennifer Lin: Improvising on piano aged 14,1,1154995860,Pianist composer,"['creativity', 'entertainment', 'music', 'performance', 'piano', 'wunderkind']",Improvising on piano aged 14,1628912
88,906,TED2006,1140739200,27,Amy Smith,Amy Smith: Simple designs to save a life,1,1155600660,inventor engineer,"['MacArthur grant', 'alternative energy', 'design', 'engineering', 'global issues', 'industrial design', 'invention', 'simplicity']",Simple designs to save a life,1415724
163,1170,TED2005,1109289600,22,Ross Lovegrove,Ross Lovegrove: Organic design inspired by nature,1,1155600660,Industrial designer,"['DNA', 'biology', 'creativity', 'design', 'industrial design', 'invention', 'nature', 'product design', 'science and art']",Organic design inspired by nature,1074081
84,1201,TEDGlobal 2005,1121299200,32,Jimmy Wales,Jimmy Wales: The birth of Wikipedia,1,1156119060,Founder of Wikipedia,"['business', 'collaboration', 'culture', 'invention', 'media', 'open-source', 'technology', 'wikipedia']",The birth of Wikipedia,1106561
108,1114,TED2006,1140652800,27,Richard Baraniuk,Richard Baraniuk: The birth of the open-source learning revolution,1,1156119060,Education visionary,"['business', 'collaboration', 'culture', 'global issues', 'library', 'open-source', 'technology']",The birth of the open-source learning revolution,966439
185,1136,TED2004,1077580800,26,Ze Frank,Ze Frank: Nerdcore comedy,1,1156464660,Humorist web artist,"['collaboration', 'comedy', 'community', 'culture', 'dance', 'demo', 'entertainment', 'humor', 'performance', 'software']",Nerdcore comedy,6141440
50,1006,TED2006,1140652800,20,Mena Trott,Mena Trott: Meet the founder of the blog revolution,1,1156464660,Blogger; cofounder Six Apart,"['business', 'communication', 'community', 'culture', 'design', 'entertainment', 'software', 'storytelling']",Meet the founder of the blog revolution,518624
556,1407,TED2006,1140739200,33,Helen Fisher,Helen Fisher: Why we love why we cheat,1,1157501460,Anthropologist expert on love,"['cognitive science', 'culture', 'evolution', 'gender', 'love', 'psychology', 'relationships', 'science']",Why we love why we cheat,9260764
117,1225,TED2004,1075852800,23,Eve Ensler,Eve Ensler: Happiness in body and soul,1,1157501460,Playwright activist,"['culture', 'entertainment', 'gender', 'global issues', 'happiness', 'performance', 'storytelling', 'theater', 'women']",Happiness in body and soul,1131864
184,1140,TEDGlobal 2005,1121299200,29,David Deutsch,David Deutsch: Chemical scum that dream of distant quasars,1,1158019860,Quantum physicist,"['climate change', 'cosmos', 'culture', 'environment', 'global issues', 'physics', 'science', 'technology', 'universe']",Chemical scum that dream of distant quasars,1096862
507,1316,TEDGlobal 2005,1120694400,36,Richard Dawkins,Richard Dawkins: Why the universe seems so strange,1,1158019860,Evolutionary biologist,"['astronomy', 'biology', 'cognitive science', 'cosmos', 'evolution', 'physics', 'psychology', 'science']",Why the universe seems so strange,2885999
95,1275,TED2004,1077840000,25,Steven Levitt,Steven Levitt: The freakonomics of crack dealing,1,1158624660,Economist,"['business', 'cities', 'culture', 'economics', 'narcotics', 'race']",The freakonomics of crack dealing,2863214
355,1050,TED2004,1077753600,37,Malcolm Gladwell,Malcolm Gladwell: Choice happiness and spaghetti sauce,1,1158624660,Writer,"['business', 'choice', 'consumerism', 'culture', 'economics', 'food', 'marketing', 'media', 'storytelling']",Choice happiness and spaghetti sauce,7023562
970,1276,TED2004,1075680000,43,Dan Gilbert,Dan Gilbert: The surprising science of happiness,1,1159229460,Psychologist; happiness expert,"['TED Brain Trust', 'brain', 'choice', 'culture', 'evolution', 'happiness', 'psychology', 'science']",The surprising science of happiness,14689301
991,1177,TEDGlobal 2005,1121385600,45,Barry Schwartz,Barry Schwartz: The paradox of choice,1,1159229460,Psychologist,"['business', 'choice', 'culture', 'decision-making', 'economics', 'happiness', 'personal growth', 'potential', 'psychology']",The paradox of choice,10000702
213,1129,TED2005,1109376000,26,Eva Vertes,Eva Vertes: Meet the future of cancer research,1,1159747860,Neuroscience and cancer researcher,"['cancer', 'disease', 'health', 'science', 'technology', 'wunderkind']",Meet the future of cancer research,1030267
612,1365,TEDGlobal 2005,1121299200,29,Aubrey de Grey,Aubrey de Grey: A roadmap to end aging,1,1159747860,Crusader against aging,"['aging', 'biotech', 'disease', 'engineering', 'future', 'health care', 'science', 'technology']",A roadmap to end aging,3277740
74,952,TEDGlobal 2005,1121212800,21,Iqbal Quadir,Iqbal Quadir: How mobile phones can fight poverty,1,1160439060,Founder GrameenPhone,"['alternative energy', 'business', 'communication', 'culture', 'global development', 'global issues', 'invention', 'investment', 'microfinance', 'poverty', 'technology', 'telecom', 'transportation']",How mobile phones can fight poverty,503517
58,773,TEDGlobal 2005,1120176000,26,Jacqueline Novogratz,Jacqueline Novogratz: Invest in Africa's own solutions,1,1160439060,Investor and advocate for moral leadership,"['Africa', 'TED Brain Trust', 'business', 'culture', 'entrepreneur', 'global development', 'investment', 'microfinance', 'philanthropy', 'poverty']",Invest in Africa's own solutions,705389
43,1080,TEDGlobal 2005,1121299200,21,Sasa Vucinic,Sasa Vucinic: Why we should invest in a free press,1,1161130260,Nonprofit venture capitalist,"['business', 'culture', 'global issues', 'investment', 'media', 'philanthropy']",Why we should invest in a free press,580891
67,1125,TEDGlobal 2005,1121126400,24,Ashraf Ghani,Ashraf Ghani: How to rebuild a broken state,1,1161130260,President-elect of Afghanistan,"['business', 'corruption', 'culture', 'economics', 'entrepreneur', 'global development', 'global issues', 'investment', 'military', 'policy', 'politics', 'poverty']",How to rebuild a broken state,809226
186,1177,TED2006,1140739200,28,Burt Rutan,Burt Rutan: The real future of space exploration,1,1161735060,Aircraft engineer,"['NASA', 'aircraft', 'business', 'design', 'engineering', 'entrepreneur', 'flight', 'industrial design', 'invention', 'rocket science']",The real future of space exploration,2028451
57,1083,TED2005,1109203200,26,Ben Saunders,Ben Saunders: Why did I ski to the North Pole?,1,1161735060,Arctic explorer,"['climate change', 'culture', 'exploration', 'global issues', 'personal growth', 'potential', 'sports', 'technology', 'travel']",Why did I ski to the North Pole?,745231
112,1672,TED2005,1109203200,24,Bono,Bono: My wish: Three actions for Africa,1,1162253460,Musician activist,"['AIDS', 'Africa', 'activism', 'entertainment', 'global issues', 'philanthropy', 'poverty', 'social change']",My wish: Three actions for Africa,718649
58,2065,TED2005,1108598400,22,Edward Burtynsky,Edward Burtynsky: My wish: Manufactured landscapes and green education,1,1162253460,Photographer,"['TED Prize', 'art', 'cities', 'culture', 'design', 'environment', 'photography', 'pollution', 'social change']",My wish: Manufactured landscapes and green education,975107
33,1609,TED2005,1109203200,20,Robert Fischell,Robert Fischell: My wish: Three unusual medical inventions,1,1162253460,Biomedical inventor,"['TED Prize', 'business', 'disease', 'health care', 'invention', 'medicine', 'science', 'technology']",My wish: Three unusual medical inventions,382996
105,1280,TEDGlobal 2005,1121299200,20,Peter Donnelly,Peter Donnelly: How juries are fooled by statistics,1,1162944660,Mathematician; statistician,"['culture', 'genetics', 'science', 'statistics', 'technology']",How juries are fooled by statistics,1053758
494,805,TED2006,1140652800,41,Michael Shermer,Michael Shermer: Why people believe weird things,1,1162944660,Skeptic,"['culture', 'entertainment', 'faith', 'illusion', 'religion', 'science']",Why people believe weird things,5364639
233,1376,TED2005,1109203200,22,Ray Kurzweil,Ray Kurzweil: The accelerating power of technology,1,1163463060,Inventor futurist,"['TED Brain Trust', 'biotech', 'business', 'culture', 'future', 'invention', 'robots', 'science', 'technology']",The accelerating power of technology,2434344
149,1200,TED2005,1109203200,26,Kevin Kelly,Kevin Kelly: How technology evolves,1,1163463060,Digital visionary,"['choice', 'culture', 'evolution', 'future', 'history', 'philosophy', 'science', 'technology']",How technology evolves,1536873
52,848,TED2006,1140652800,24,Peter Gabriel,Peter Gabriel: Fight injustice with raw video,1,1165363860,Musician activist,"['TED Brain Trust', 'activism', 'art', 'collaboration', 'culture', 'film', 'global issues', 'music', 'social change', 'storytelling']",Fight injustice with raw video,904215
578,210,TED2005,1109116800,66,Richard St. John,Richard St. John: 8 secrets of success,1,1166055060,Marketer success analyst,"['business', 'culture', 'entertainment', 'happiness', 'psychology', 'success', 'work']",8 secrets of success,10841210
95,247,TEDSalon 2006,1164844800,34,Rives,Rives: If I controlled the Internet,1,1166055060,Performance poet multimedia artist,"['culture', 'entertainment', 'love', 'performance', 'philosophy', 'poetry']",If I controlled the Internet,1813665
199,198,TED2006,1140652800,48,Dean Ornish,Dean Ornish: The killer American diet that's sweeping the planet,1,1166055060,Physician author,"['culture', 'disease', 'food', 'global issues', 'health', 'health care', 'obesity', 'science']",The killer American diet that's sweeping the planet,2299265
85,843,TEDGlobal 2005,1121299200,22,Robert Neuwirth,Robert Neuwirth: The hidden world of shadow cities,1,1167696660,Author,"['business', 'cities', 'culture', 'entrepreneur', 'future', 'global development', 'global issues', 'policy', 'poverty', 'social change']",The hidden world of shadow cities,673036
499,1001,TED2005,1107302400,32,Bjorn Lomborg,Bjorn Lomborg: Global priorities bigger than climate change,1,1167696660,Global prioritizer,"['AIDS', 'Africa', 'business', 'choice', 'climate change', 'culture', 'disaster relief', 'economics', 'environment', 'future']",Global priorities bigger than climate change,1391142
371,1321,TED2003,1044230400,36,Wade Davis,Wade Davis: Dreams from endangered cultures,1,1168301460,Anthropologist ethnobotanist,"['anthropology', 'culture', 'environment', 'film', 'global issues', 'language', 'photography']",Dreams from endangered cultures,2532851
59,1115,TED2006,1140652800,29,Phil Borges,Phil Borges: Photos of endangered cultures,1,1168301460,Photographer,"['activism', 'art', 'culture', 'design', 'film', 'global issues', 'photography', 'social change', 'storytelling']",Photos of endangered cultures,882034
203,1046,TEDGlobal 2005,1121299200,29,Martin Rees,Martin Rees: Is this our final century?,1,1168992660,Astrophysicist,"['astronomy', 'climate change', 'complexity', 'cosmos', 'science', 'social change', 'technology', 'time', 'universe']",Is this our final century?,2121177
130,1151,TED2006,1138838400,23,Robert Wright,Robert Wright: Progress is not a zero-sum game,1,1168992660,Journalist philosopher,"['collaboration', 'culture', 'evolutionary psychology', 'global issues', 'war']",Progress is not a zero-sum game,1090180
47,603,TEDSalon 2006,1164844800,29,Steven Johnson,"Steven Johnson: How the ""ghost map"" helped end a killer disease",1,1170202260,Writer,"['cities', 'culture', 'design', 'disease', 'health', 'history', 'map', 'science', 'urban planning']","How the ""ghost map"" helped end a killer disease",684519
91,1141,TEDGlobal 2005,1121299200,24,Charles Leadbeater,Charles Leadbeater: The era of open innovation,1,1170202260,Innovation consultant,"['business', 'collaboration', 'culture', 'economics', 'innovation', 'invention', 'media', 'open-source', 'product design']",The era of open innovation,1409327
222,825,TED2005,1109289600,0,Pilobolus,"Pilobolus: A dance of ""Symbiosis""",1,1170979860,Dance company,"['dance', 'entertainment', 'nature', 'performance', 'science', 'science and art']","A dance of ""Symbiosis""",3051507
111,1385,TED2005,1109289600,19,Anna Deavere Smith,Anna Deavere Smith: Four American characters,1,1170979860,Actor playwright social critic,"['MacArthur grant', 'United States', 'culture', 'entertainment', 'history', 'interview', 'performance', 'performance art', 'race', 'sports', 'storytelling', 'theater']",Four American characters,978825
28,869,TED2006,1140652800,18,Saul Griffith,Saul Griffith: Everyday inventions,1,1171843860,Inventor,"['MacArthur grant', 'collaboration', 'design', 'innovation', 'invention', 'materials', 'open-source', 'product design', 'technology']",Everyday inventions,442553
64,1038,TED2006,1138838400,17,Neil Gershenfeld,Neil Gershenfeld: Unleash your creativity in a Fab Lab,1,1171843860,Physicist personal fab pioneer,"['code', 'computers', 'culture', 'education', 'engineering', 'invention', 'materials', 'science', 'social change', 'technology']",Unleash your creativity in a Fab Lab,691814
226,1155,TEDGlobal 2005,1120694400,30,Carl Honoré,Carl Honoré: In praise of slowness,1,1172621460,Journalist,"['choice', 'culture', 'happiness', 'health', 'parenting', 'personal growth', 'potential', 'psychology', 'work-life balance']",In praise of slowness,2441805
97,1447,TED2007,1173312000,26,Bill Clinton,Bill Clinton: My wish: Rebuilding Rwanda,1,1175559060,Activist,"['Africa', 'TED Prize', 'business', 'culture', 'economics', 'global issues', 'health care', 'technology']",My wish: Rebuilding Rwanda,849859
89,1355,TED2007,1173312000,26,E.O. Wilson,E.O. Wilson: My wish: Build the Encyclopedia of Life,1,1175559060,Biologist,"['TED Prize', 'ants', 'biodiversity', 'biology', 'ecology', 'global issues', 'insects', 'nature', 'science', 'technology']",My wish: Build the Encyclopedia of Life,1335732
107,1316,TED2007,1173312000,23,James Nachtwey,James Nachtwey: My wish: Let my photographs bear witness,1,1175559060,Photojournalist,"['activism', 'art', 'culture', 'global issues', 'media', 'photography', 'poverty', 'social change', 'storytelling', 'war']",My wish: Let my photographs bear witness,1262674
161,1645,TED2002,1014940800,31,Jane Goodall,Jane Goodall: What separates us from chimpanzees?,1,1175731860,Primatologist; environmentalist,"['Africa', 'animals', 'culture', 'environment', 'global issues', 'nature', 'primates', 'science']",What separates us from chimpanzees?,1663001
220,1021,TED2003,1046304000,31,Seth Godin,Seth Godin: How to get your ideas to spread,1,1175731860,Marketer and author,"['TED Brain Trust', 'business', 'choice', 'culture', 'marketing', 'storytelling']",How to get your ideas to spread,5570544
114,1211,TED2005,1107302400,28,James Watson,James Watson: How we discovered DNA,1,1175731860,Biologist Nobel laureate,"['DNA', 'culture', 'genetics', 'history', 'invention', 'science', 'storytelling', 'technology']",How we discovered DNA,1520908
88,873,TED2004,1077753600,31,Al Seckel,Al Seckel: Visual illusions that show how we (mis)think,1,1175731860,Master of visual illusions,"['brain', 'cognitive science', 'culture', 'design', 'illusion', 'psychology']",Visual illusions that show how we (mis)think,2138907
130,1207,TED2002,1012608000,18,Dean Kamen,Dean Kamen: To invent is to give,1,1175731860,Inventor,"['business', 'cars', 'industrial design', 'innovation', 'invention', 'robots', 'science', 'social change', 'sustainability', 'technology', 'transportation']",To invent is to give,680134
49,1340,TED2003,1044144000,20,Juan Enriquez,Juan Enriquez: The life code that will reshape the future,1,1175731860,Futurist,"['DNA', 'TED Brain Trust', 'biotech', 'business', 'culture', 'genetics', 'invention', 'science', 'technology']",The life code that will reshape the future,690928
86,930,TED2004,1075680000,26,Stefan Sagmeister,Stefan Sagmeister: Happiness by design,1,1175731860,Graphic designer,"['TED Brain Trust', 'art', 'design', 'happiness', 'typography']",Happiness by design,1762302
107,1054,TEDGlobal 2005,1120694400,32,Alex Steffen,Alex Steffen: The route to a sustainable future,1,1175731860,Planetary futurist,"['alternative energy', 'business', 'cities', 'collaboration', 'culture', 'design', 'environment', 'global issues', 'invention', 'sustainability']",The route to a sustainable future,1392010
50,1240,TED2005,1109289600,16,Thom Mayne,Thom Mayne: How architecture can connect us,1,1175731860,Architect,"['architecture', 'cities', 'culture', 'design', 'invention']",How architecture can connect us,660909
78,1204,TED2002,1012608000,23,Chris Bangle,Chris Bangle: Great cars are great art,1,1175731860,Car designer,"['art', 'business', 'cars', 'design', 'industrial design', 'invention', 'technology', 'transportation']",Great cars are great art,867495
40,276,TEDSalon 2006,1166054400,28,Nora York,"Nora York: Singing ""What I Want""",1,1175731860,Singer performance artist,"['entertainment', 'live music', 'music', 'performance', 'poetry', 'singer']","Singing ""What I Want""",395769
27,850,TEDGlobal 2005,1121299200,24,Paul Bennett,Paul Bennett: Design is in the details,1,1175731860,Designer; creative director Ideo,"['business', 'design', 'industrial design', 'product design']",Design is in the details,761930
84,891,TED2003,1046304000,23,Vik Muniz,Vik Muniz: Art with wire sugar chocolate and string,1,1175731860,Artist,"['Brazil', 'animation', 'art', 'creativity', 'design', 'illusion']",Art with wire sugar chocolate and string,1149090
131,1012,TEDGlobal 2005,1121299200,24,Nick Bostrom,Nick Bostrom: A philosophical quest for our biggest problems,1,1175731860,Philosopher,"['biotech', 'culture', 'future', 'global issues', 'happiness', 'philosophy', 'technology']",A philosophical quest for our biggest problems,762264
127,1399,TED2005,1109203200,24,Janine Benyus,Janine Benyus: Biomimicry's surprising lessons from nature's engineers,1,1175731860,Science writer innovation consultant conservationist,"['DNA', 'animals', 'biology', 'biomimicry', 'design', 'environment', 'evolution', 'fish', 'science', 'technology']",Biomimicry's surprising lessons from nature's engineers,1920434
34,1011,TEDGlobal 2005,1109203200,21,Craig Venter,Craig Venter: Sampling the ocean's DNA,1,1175731860,Biologist genetics pioneer,"['DNA', 'biodiversity', 'biology', 'biotech', 'ecology', 'entrepreneur', 'genetics', 'invention', 'oceans', 'science', 'technology']",Sampling the ocean's DNA,560904
47,893,TED2004,1077840000,20,Golan Levin,Golan Levin: Software (as) art,1,1175731860,Experimental audio-visual artist,"['art', 'entertainment', 'invention', 'music', 'performance', 'software', 'technology']",Software (as) art,606311
335,1045,TED2004,1075680000,28,Susan Savage-Rumbaugh,Susan Savage-Rumbaugh: The gentle genius of bonobos,1,1175731860,Primate authority,"['animals', 'apes', 'biology', 'culture', 'evolution', 'genetics', 'intelligence', 'language']",The gentle genius of bonobos,2197377
143,977,TED2005,1107302400,30,Frans Lanting,Frans Lanting: The story of life in photographs,1,1175731860,Nature photographer,"['animals', 'art', 'design', 'evolution', 'fish', 'nature', 'photography', 'storytelling']",The story of life in photographs,1697185
57,985,TED2004,1077667200,18,Sheila Patek,Sheila Patek: The shrimp with a kick!,1,1175731860,Biologist biomechanics researcher,"['biology', 'biomechanics', 'oceans', 'online video', 'science', 'technology']",The shrimp with a kick!,1115081
39,163,TED2006,1140912000,38,Jill Sobule,"Jill Sobule: Global warming's theme song ""Manhattan in January""",1,1175819400,Singer/songwriter,"['climate change', 'environment', 'guitar', 'music', 'performance', 'vocals']","Global warming's theme song ""Manhattan in January""",591379
34,459,TED2005,1107302400,25,Caroline Lavelle,Caroline Lavelle: Casting a spell on the cello,1,1175835900,Cellist; singer-songwriter,"['cello', 'entertainment', 'music', 'performance', 'vocals']",Casting a spell on the cello,398713
501,1308,TED2003,1046304000,31,Dan Dennett,Dan Dennett: The illusion of consciousness,1,1175855580,Philosopher cognitive scientist,"['TED Brain Trust', 'brain', 'consciousness', 'culture', 'entertainment', 'illusion', 'self', 'visualizations']",The illusion of consciousness,2676717
296,1929,TED2003,1044144000,32,Evelyn Glennie,Evelyn Glennie: How to truly listen,1,1175881860,Musician,"['creativity', 'entertainment', 'live music', 'music', 'performance']",How to truly listen,4165572
231,1205,TED2005,1107302400,25,William McDonough,William McDonough: Cradle to cradle design,1,1175882580,Architect,"['architecture', 'business', 'china', 'cities', 'culture', 'design', 'environment', 'global issues', 'sustainability', 'technology']",Cradle to cradle design,1426390
58,1031,TED2003,1044144000,22,Jeff Bezos,Jeff Bezos: The electricity metaphor for the web's future,1,1176162180,Online commerce pioneer,"['TED Brain Trust', 'United States', 'business', 'entrepreneur', 'history', 'innovation', 'invention', 'technology', 'web']",The electricity metaphor for the web's future,754700
58,251,TED2006,1138838400,25,Rives,Rives: A mockingbird remix of TED2006,1,1176163140,Performance poet multimedia artist,"['entertainment', 'memory', 'performance', 'poetry', 'spoken word', 'storytelling']",A mockingbird remix of TED2006,643078
75,378,TED2003,1044144000,28,Eddi Reader,"Eddi Reader: ""Kiteflyer's Hill""",2,1176586800,Singer/songwriter,"['composing', 'entertainment', 'guitar', 'memory', 'music', 'performance', 'piano']","""Kiteflyer's Hill""",513672
50,312,TED2003,1044144000,25,Eddi Reader,"Eddi Reader: ""What You've Got""",2,1176586800,Singer/songwriter,"['composing', 'entertainment', 'guitar', 'music', 'performance', 'performance art', 'piano', 'potential', 'vocals']","""What You've Got""",428351
588,1172,TED2005,1107302400,22,Tom Honey,Tom Honey: Why would God create a tsunami?,1,1176688500,Priest,"['God', 'culture', 'disaster relief', 'global issues', 'natural disaster', 'philosophy', 'religion']",Why would God create a tsunami?,616385
6404,1750,TED2002,1012608000,42,Richard Dawkins,Richard Dawkins: Militant atheism,1,1176689220,Evolutionary biologist,"['God', 'atheism', 'culture', 'religion', 'science']",Militant atheism,4374792
49,1195,TED2006,1138838400,16,Tom Rielly,Tom Rielly: A comic sendup of TED2006,1,1176695640,Satirist,"['comedy', 'culture', 'humor', 'performance']",A comic sendup of TED2006,609087
39,201,TED2004,1075680000,33,Rachelle Garniez,"Rachelle Garniez: ""La Vie en Rose""",2,1176701700,Musician,"['entertainment', 'live music', 'music', 'performance']","""La Vie en Rose""",443180
42,858,TED2004,1075680000,23,Chris Anderson,Chris Anderson: Technology's long tail,1,1177632660,Drone maker,"['business', 'culture', 'economics', 'entertainment', 'marketing', 'technology']",Technology's long tail,904520
67,311,TED2002,1012608000,30,Natalie MacMaster,Natalie MacMaster: Cape Breton fiddling in reel time,2,1178040660,Fiddler,"['entertainment', 'history', 'live music', 'music', 'performance', 'violin']",Cape Breton fiddling in reel time,717002
56,1233,TED2004,1075680000,31,Sergey Brin + Larry Page,Sergey Brin + Larry Page: The genesis of Google,2,1178214660,Computer scientist entrepreneur and philanthropist,"['Google', 'TED Brain Trust', 'business', 'collaboration', 'culture', 'design', 'technology', 'web']",The genesis of Google,1451846
72,277,TED2006,1141344000,22,Stew,"Stew: ""Black Men Ski""",1,1178545440,Singer/songwriter,"['culture', 'entertainment', 'live music', 'music', 'performance', 'poetry', 'race', 'sports']","""Black Men Ski""",577502
328,1184,TED2004,1075680000,21,James Howard Kunstler,James Howard Kunstler: The ghastly tragedy of the suburbs,1,1178958000,Social critic,"['alternative energy', 'architecture', 'cars', 'cities', 'consumerism', 'culture', 'design', 'energy', 'transportation']",The ghastly tragedy of the suburbs,1683456
32,1020,TED2002,1012608000,19,David Kelley,David Kelley: Human-centered design,1,1179223200,Designer educator,"['collaboration', 'creativity', 'culture', 'design', 'museums', 'philanthropy', 'science and art', 'water']",Human-centered design,779873
99,185,TED2006,1138838400,44,Stewart Brand,Stewart Brand: What squatter cities can teach us,1,1179398160,Environmentalist futurist,"['TED Brain Trust', 'business', 'cities', 'culture', 'future', 'global issues', 'poverty', 'technology', 'urban planning']",What squatter cities can teach us,940913
230,1211,TED2003,1044144000,29,Jeff Hawkins,Jeff Hawkins: How brain science will change computing,1,1179760080,Computer designer brain researcher,"['AI', 'brain', 'cognitive science', 'computers', 'intelligence', 'memory', 'science', 'technology']",How brain science will change computing,1371482
87,1001,TED2003,1044144000,22,Tierney Thys,Tierney Thys: Swim with the giant sunfish,1,1179763140,Marine biologist,"['animals', 'biodiversity', 'climate change', 'environment', 'fish', 'global issues', 'oceans', 'science', 'technology']",Swim with the giant sunfish,870412
260,450,TED2007,1172880000,34,Blaise Agüera y Arcas,Blaise Agüera y Arcas: How PhotoSynth can connect the world's images,1,1180226220,Software architect,"['collaboration', 'demo', 'microsoft', 'photography', 'software', 'technology', 'virtual reality', 'visualizations']",How PhotoSynth can connect the world's images,4772595
295,1072,TED2007,1172880000,20,John Doerr,John Doerr: Salvation (and profit) in greentech,1,1180266840,Venture capitalist,"['climate change', 'environment', 'global issues', 'green', 'investment', 'sustainability', 'technology']",Salvation (and profit) in greentech,805111
127,1213,TED2007,1172880000,32,Ngozi Okonjo-Iweala,Ngozi Okonjo-Iweala: Want to help Africa? Do business here,1,1180491120,Economist,"['business', 'corruption', 'global issues', 'investment', 'women', 'women in business']",Want to help Africa? Do business here,1044185
124,279,TED2007,1172880000,31,Anand Agarawala,Anand Agarawala: Rethink the desktop with BumpTop,1,1181044860,Interaction designer; software developer,"['demo', 'interface design', 'software', 'technology']",Rethink the desktop with BumpTop,1479503
220,726,TEDSalon 2006,1164931200,31,Robert Thurman,Robert Thurman: We can be Buddhas,1,1181125860,Buddhist scholar,"['Buddhism', 'God', 'culture', 'global issues', 'happiness', 'peace', 'religion']",We can be Buddhas,1493606
14,1477,TED2002,1012608000,18,David Rockwell,David Rockwell: A memorial at Ground Zero,1,1181625060,Architect experience designer,"['New York', 'architecture', 'cities', 'collaboration', 'culture', 'death', 'design', 'disaster relief', 'interview', 'memory', 'urban planning']",A memorial at Ground Zero,404402
